Upper East,BUILSA SOUTH,J0101 BACHONGSA,J010101 BACHONGSA PRIMARY SCHOOL
Upper East,BUILSA SOUTH,J0102 DONINGA,J010201 DONINGA PRIMARY SCHOOL
Upper East,BUILSA SOUTH,J0103 KANJARGA CENTRAL,J010302 KANJARGA MARKET SQUARE
Upper East,BUILSA SOUTH,J0104 SAMSA/ZOGSA,J010401 KANJARGA JHS
Upper East,BUILSA SOUTH,J0105 JINNINGSA,J010501 JINNINGSA PRIMARY SCHOOL
Upper East,BUILSA SOUTH,J0106 LUISA,J010601 CPB AT LUISA
Upper East,BUILSA SOUTH,J0107 DABURINSA,J010701 NYANDEMA PRIMARY SCHOOL
Upper East,BUILSA SOUTH,J0108 GBEDEMA CENTRAL,J010801 GBEDEMA PRIMARY SCHOOL
Upper East,BUILSA SOUTH,J0109 JAGSA,J010901 JAGSA PRIMARY SCHOOL
Upper East,BUILSA SOUTH,J0110 FUMBISI CENTRAL,J011001 FUMBISI MARKET SQUARE
Upper East,BUILSA SOUTH,J0111 BAASA,J011101 BAASA PRIMARY SCHOOL
Upper East,BUILSA SOUTH,J0112 PENTENGSA,J011202 FUMBISI PRIMARY SCHOOL
Upper East,BUILSA SOUTH,J0113 KASIESA,J011301 KASIESA PRIMARY SCHOOL
Upper East,BUILSA SOUTH,J0114 WIESI,J011401 WIESI PRIMARY SCHOOL
Upper East,BUILSA SOUTH,J0115 GBEDEMBILISI,J011501 GBEDEMIBILISI PRIMARY SCHOOL
Upper East,BUILSA SOUTH,J0116 NAADEM,J011601 NAADEM PRIMARY SCHOOL
Upper East,BUILSA SOUTH,J0117 UWASI,J011701 UWASI PRIMARY SCHOOL
Upper East,BUILSA SOUTH,J0118 CHANSA,J011801 CHANSA PRIMARY SCHOOL
Upper East,BUILSA SOUTH,J0119 GOBSA,J011901 CPB AT NANGAANGDEM
Upper East,BUILSA SOUTH,J0120 ZAMSA,J012001 ZAMSA PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0201 KAASA/ZOGSA,J020102 KAASA PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0202 ZUEDEM COMMUNITY,J020201 ZUEDEM PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0203 SINIENSI,J020302 SINIENSI JHS
Upper East,BUILSA NORTH,J0204 KPALINSA,J020401 TANKKANGSA PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0205 ZARING/BULBA,J020501 ZARING PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0206 KPIKPALUK,J020601 KPIKPALUK MARKET SQUARE
Upper East,BUILSA NORTH,J0207 BANYANGSA/GAADEM,J020701 KADEMA PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0208 SINYANGSA,J020801 SINYANGSA JHS
Upper East,BUILSA NORTH,J0209 GOLDEM/BADOMSA,J020901 CPB AT ALOGAAB
Upper East,BUILSA NORTH,J0210 YISOBSA/WIAGA,J021001 WIAGA MARKET SQUARE
Upper East,BUILSA NORTH,J0211 CHIOK,J021101 CHIOK PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0212 WABILINSA,J021201 WABILINSA PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0213 LONGSA,J021301 LONGSA K. G.
Upper East,BUILSA NORTH,J0214 BANDEMA,J021401 BANDEMA PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0215 YIMONSA,J021501 YIMONSA K. G.
Upper East,BUILSA NORTH,J0216 FARINSA,J021601 FARINSA PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0217 SAWARINSA,J021701 OLD PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0218 BALANSA,J021801 AYIETA JHS
Upper East,BUILSA NORTH,J0219 DABORINSA,J021901 CPB AT DABORINSA
Upper East,BUILSA NORTH,J0220 NYANSA/FIISA,J022001 ANANKUM PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0221 ABIL-YERI,J022101 SANDEMA LOCAL COUNCIL HALL
Upper East,BUILSA NORTH,J0222 AWUSU-YERI & ACHOG-YERI,J022201 AWUSU-YERI & ACHOG-YERI
Upper East,BUILSA NORTH,J0223 KOBDEMA,J022301 ANANKUM JHS
Upper East,BUILSA NORTH,J0224 KALIJIISA,J022401 KALIJIISA PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0225 BILINSA,J022501 AFOKO PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0226 KORI,J022601 KORI PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0227 ACHAN-YERI,J022701 ACHAN-YERI PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0228 AZUG-YERI,J022801 CHUCHULIGA PRIMARY SCHOL
Upper East,BUILSA NORTH,J0229 AWULANSA,J022901 AWULANSA PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0230 NAMONSA,J023002 NAMONSA PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0231 NANJUEPUING,J023101 NANJUEPUING PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0301 NAAGA,J030101 NAAGA PRIMARY SCHOOL ‘A’
Upper East,BUILSA NORTH,J0302 CHAABA,J030201A CHAABA PRIMARY SCHOOL ‘A’
Upper East,BUILSA NORTH,J0303 BIU/KOLNABA,J030302 BIU MARKET SQUARE
Upper East,BUILSA NORTH,J0304 KUGONGO/KULONGO,J030401 CPB AT KUGONGO
Upper East,BUILSA NORTH,J0305 KULEMBINGO/ZOONGO,J030501 KULENGO PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0306 KOLOGO,J030601 KOLOGO PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0307 ZUO,J030701 ZUO PRIMARY SCHOOL ‘A’
Upper East,BUILSA NORTH,J0308 TAMPOLA,J030801 TAMPOLA PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0309 VUNANIA,J030901 VUNANIA JUNIOR HIGH SCHOOL ‘A’
Upper East,BUILSA NORTH,J0310 GONGONIA,J031001A DOKOMOLO PRACTICE SCHOOL ‘A’
Upper East,BUILSA NORTH,J0311 NOGSENIA,J031101X BASINA PRIMARY SCHOOL (X)
Upper East,BUILSA NORTH,J0312 BALOBIA,J031201 BALOBIA JUNIOR HIGH SCHOOL ‘A’
Upper East,BUILSA NORTH,J0313 KORANIA/BONIA,J031301 BONIA PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0314 WURU-NANGALIKINA,J031401 KORANIA JUNIOR HIGH SCHOOL
Upper East,BUILSA NORTH,J0315 SABORO,J031501 SABORO PRIMARY SCHOOL ‘A’
Upper East,BUILSA NORTH,J0316 NAMOLO,J031601 NAMOLO PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0317 GIA,J031701 GIA PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0318 PINDA,J031801 PINDA PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0319 KONWANIA,J031902 KONGWANIA DAY NURSERY
Upper East,BUILSA NORTH,J0320 NYANGUA,J032001 NYANGUA PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0321 PUNGU CENTRAL,J032101 PUNGU PRIMARY SCHOOL ‘A’
Upper East,BUILSA NORTH,J0322 PUNGU SOUTH,J032201 PUNYORO PRIMARY SCHOOL ‘A’
Upper East,BUILSA NORTH,J0323 PUNGU EAST,J032301 NIMBASINIA DAY NURSERY ‘A’
Upper East,BUILSA NORTH,J0324 PUNGU NORTH,J032401 WUSUNGU PRIMARY SCHOOL ‘A’
Upper East,BUILSA NORTH,J0325 NAYAGENIA,J032501 NAYAGENIA PRIMARY SCHOOL ‘A’
Upper East,BUILSA NORTH,J0326 DOBA,J032601 DOBA PRIMARY SCHOOL U/B
Upper East,BUILSA NORTH,J0327 GAYINGO,J032701 WALENKAKI JUNCTION
Upper East,BUILSA NORTH,J0328 AKUNKONGO/ABEMPINGO,J032801 ABEMPINGO PRIMARY SCHOOL
Upper East,BUILSA NORTH,J0330 MANYORO,J033001 MANYORO PRIMARY SCHOOL ‘A’
