Upper West,NANDOM,GENGENKPE,GENGENKPEE PRIMARY
Upper West,NANDOM,TANKYARA/KUSELLE,KUSELLE OLD PARISH
Upper West,NANDOM,BASEBELLE,BASEBELLE PRIMARY
Upper West,NANDOM,PAYAAN,TEMP BOOTH PAYAAN
Upper West,NANDOM,TOME,TOME PRIMARY SCH.
Upper West,NANDOM,VAPUO,VAPUO PRIMARY SCH.
Upper West,NANDOM,GUO,GUO PRIMARY SCH.
Upper West,NANDOM,TUOPARE,TUOPARE PRIMARY SCH.
Upper West,NANDOM,KO,KO PRIMARY SCH.
Upper West,NANDOM,NABUGANG,NABUGANG PRIM. SCH.
Upper West,NANDOM,BRUTU,BRUTU JNR. HIGH SCH.
Upper West,NANDOM,NANDOM WEST,NANDOM LOCAL COUNCIL
Upper West,NANDOM,NANDOM EAST,LOCAL COURT NAYIRI
Upper West,NANDOM,RESIDENTIAL AREA,INFORM CENTRE NANDOM
Upper West,NANDOM,KOGLE,KOGLE PRIMARY SCH.
Upper West,NANDOM,GOZIIRI,GOZIIRI PRIMARY SCH.
Upper West,NANDOM,NANDOMKPEE,T. B. GAMUOGANGN
Upper West,NANDOM,BIRENGANGAN,T.B BIRENGANGN
Upper West,NANDOM,PUFFIEN,PUFFIEN PRIMARY SCH.
Upper West,NANDOM,BU,BU PRIMARY SCHOOL
Upper West,NANDOM,TANTUO,TANTUO PRIMARY SCH.
Upper West,NANDOM,KETUO,KETUO PRIMARY SCH.
Upper West,NANDOM,BAPILA,BAPILA PRIMARY SCH.
Upper West,NANDOM,KOKOLIGU,KOKOLIGU JNR. HIGH SCH.
Upper West,NANDOM,ZOGGPIELLE,TEMP BOOTH ZOGPPIELLE
Upper West,NADOWLI KALEO,CHARIKPONG,GABILLI CLINIC
Upper West,NADOWLI KALEO,TANDUORI,WICHIMA PRIMARY SCHOOL
Upper West,NADOWLI KALEO,SAAN-SAMPINA,SAAN PRIM SCH
Upper West,NADOWLI KALEO,KUURI,KUURI PRIMARY SCHOOL
Upper West,NADOWLI KALEO,KULPIENI,KULPIENI PRIMARY SCHOOL
Upper West,NADOWLI KALEO,SIIRU,TEMP BOOTH SIIRU
Upper West,NADOWLI KALEO,NANILLI,NANVILLI PRIM SCH
Upper West,NADOWLI KALEO,NATOR EAST,NATOR PRIMARY SCHOOL
Upper West,NADOWLI KALEO,NATOR WEST,TEMP BOOTH BAANUORI
Upper West,NADOWLI KALEO,TAKPO,TAKPO AREA COUNCIL
Upper West,NADOWLI KALEO,TAKPO-TUORI,TAKPOTUORI PRIMARY SCHOOL
Upper West,NADOWLI KALEO,GYILLI,GILLI L/A PRIMARY SCHOOL
Upper West,NADOWLI KALEO,SANKANA,SANKANA TOWN HALL
Upper West,NADOWLI KALEO,CHANGU,CHANGU PRIMARY SCHOOL
Upper West,NADOWLI KALEO,SAMATIGU,SAMATIGU PRIM SCH
Upper West,NADOWLI KALEO,KALEO WEST,L/A PRIM SCH KALEO
Upper West,NADOWLI KALEO,KALEO EAST,CATH PRIM SCH KALEO
Upper West,NADOWLI KALEO,LOHO,LOHO J.H.S.
Upper West,NADOWLI KALEO,OMBO,OMBO PRIMARY SCHOOL
Upper West,NADOWLI KALEO,JANG,TEMP BOOTH JANG
Upper West,NADOWLI KALEO,NARO,P B C OFFICE NARO
Upper West,NADOWLI KALEO,KANYINI,KANYINI L A PRIM SCH
Upper West,NADOWLI KALEO,GBANKO,GBANKO PRIMARY SCHOOL
Upper West,NADOWLI KALEO,SOMBO WEST,SOMBO CATHOLIC PRIM. SCH.
Upper West,NADOWLI KALEO,SOMBO EAST,SOMBO AREA COUNCIL
Upper West,NADOWLI KALEO,DUONG,TEMP BOOTH DUONG
Upper West,NADOWLI KALEO,GOLI,GOLI PRIM SCHOOL
Upper West,NADOWLI KALEO,GORIYIRI,GORIYIRI PRIM SCHOOL
Upper West,NADOWLI KALEO,NADOWLI WEST,NADOWLI DAILY MARKET (B)
Upper West,NADOWLI KALEO,NADOWLI EAST,AREA COUNCIL NADOWLI
Upper West,NADOWLI KALEO,DAMBAA,DAMBAA PRIMARY SCHOOL
Upper West,NADOWLI KALEO,GBIERUNG,TEMP BOOTH GBIERUNG
Upper West,NADOWLI KALEO,TANGASIA,TANGASIA PRIMARY SCHOOL
Upper West,NADOWLI KALEO,YIZIRI,YIZIIRI PRIMARY SCHOOL
Upper West,NADOWLI KALEO,KALSEGRA,KALSEGRA PRIM SCHOOL
Upper West,NADOWLI KALEO,DAPUORI,DAPUORI PRIM SCH
Upper West,JIRAPA,SABULI,SABULI PRIM. SCHOOL
Upper West,JIRAPA,SOBAYIRI,TEMP BOOTH SOBAYIRI
Upper West,JIRAPA,MWANKURI,TEMP BOOTH MWANKURI- GUO
Upper West,JIRAPA,KONCHURI,TEMP BOOTH KONCHURI
